# this is FONLL_1.3.2 3 optimal choices 
# first, total cross section (in fm2)
3
0.0736079d0 0.0838993d0 0.0840331d0
# cross section is ds/dpt (pb/GeV)
# pt     fit 1                  fit 2               fit 3 
300 0.1d0
0.05  9.914191004747014e6  1.3514130086817391e7  1.4457754163531292e7
0.15  2.886872287876574e7  3.852865046377612e7  4.095551168437758e7
0.25  4.588950258436005e7  6.0435623818307646e7  6.316462297678058e7
0.35  6.078157148428351e7  7.881084531877904e7  8.093318376740994e7
0.45  7.335195021679464e7  9.338672063825905e7  9.415945351970948e7
0.55  8.31948873033602e7  1.0399800719698372e8  1.0299816263302505e8
0.65  9.08804140894318e7  1.107963828853334e8  1.0848084710299538e8
0.75  9.615221439710672e7  1.1411109970925577e8  1.111091442973626e8
0.85  9.882819487992126e7  1.1438609295766897e8  1.1125045059813504e8
0.95  9.895882706325391e7  1.1213065505924858e8  1.0927922770235962e8
1.05  9.687168104318888e7  1.0787134259279478e8  1.0555580667700607e8
1.15  9.293391242591114e7  1.0207058815093064e8  1.0044051858904405e8
1.25  8.759877530207494e7  9.518835801911864e7  9.42936945054433e7
1.35  8.131556521132441e7  8.768338532924086e7  8.743327360294177e7
1.45  7.450388856072812e7  7.994164715194005e7  8.017719505827743e7
1.55  6.749329472187527e7  7.221100735686219e7  7.280100615795653e7
1.65  6.064005328567313e7  6.474302927439426e7  6.559933053908958e7
1.75  5.409557882825727e7  5.767459295195266e7  5.870570265590651e7
1.85  4.797664860442509e7  5.110681698312436e7  5.223952633256007e7
1.95  4.236837146089331e7  4.510999112198804e7  4.628063962898665e7
2.05  3.7286581601702265e7  3.969521375076666e7  4.0850238490302116e7
2.15  3.2737216853367064e7  3.486001856229956e7  3.596174701507986e7
2.25  2.8691577721064627e7  3.0563711488435898e7  3.1591143132188566e7
2.35  2.5117006158961788e7  2.6771764228926502e7  2.7712991707489196e7
2.45  2.1976885570215307e7  2.3443482715620533e7  2.4289846571277052e7
2.55  1.9223713342704207e7  2.05270744981442e7  2.127507664429723e7
2.65  1.6819883241832726e7  1.7980612354766343e7  1.8634061882860493e7
