# this is EMMI RRTF_HQ_cquark_ppFONLL_2.76TeV_yle1 file 
# first, total cross section (in fm2) ... still to be estimated in this file
4
 -1.d0 -1.d0  -1.d0 -1.d0
# cross section is ds/dpt (pb/GeV)
# pt  cent (m_c=1.3)     fr=1 2  fr=1 .5 centr 1.5 (mc=1.5)  
400 0.5d0
0.25 5.0302e7 2.4975e7 1.7856e8 5.0302e7
0.75 1.6818e8 7.4841e7 4.09350016e8 1.4026e8
1.25 2.94190016e8 1.1714e8 5.48179968e8 2.1168e8
1.75 3.05369984e8 1.2646e8 5.27649984e8 2.2239e8
2.25 2.4273e8 1.0888e8 4.0818e8 1.8591e8
2.75 1.7313e8 8.3909e7 2.86e8 1.3916e8
3.25 1.1902e8 6.1692e7 1.9362e8 9.9581e7
3.75 8.1357e7 4.4662e7 1.3054e8 7.0348e7
4.25 5.5907e7 3.2233e7 8.8555e7 4.9665e7
4.75 3.878e7 2.3335e7 6.0707e7 3.525e7
5.25 2.7236e7 1.7033e7 4.2228e7 2.5273e7
5.75 1.9432e7 1.2575e7 2.9876e7 1.8362e7
6.25 1.4091e7 9.4034e6 2.1498e7 1.3531e7
6.75 1.0366e7 7.1147e6 1.57e7 1.01e7
7.25 7.7303e6 5.4406e6 1.1631e7 7.6304e6
7.75 5.8368e6 4.2028e6 8.7323e6 5.829e6
8.25 4.5001e6 3.2785e6 6.6364e6 4.5001e6
8.75 3.5094e6 2.5811e6 5.0999e6 3.5094e6
9.25 2.7622e6 2.0492e6 3.9596e6 2.7622e6
9.75 2.2033e6 1.6399e6 3.1038e6 2.1923e6
10.25 1.7748e6 1.3224e6 2.4548e6 1.7541e6
10.75 1.44e6 1.0741e6 1.9581e6 1.4145e6
11.25 1.1763e6 878210. 1.5746e6 1.149e6
11.75 966920. 722460. 1.2762e6 939640.
12.25 799520. 597810. 1.0417e6 773320.
12.75 664800. 497520. 855480. 640210.
13.25 555690. 416290. 706620. 532960.
13.75 466790. 350090. 587000. 446000.
14.25 393970. 295820. 490410. 375090.
14.75 334000. 251080. 411960. 316940.
15.25 284360. 214020. 347680. 269000.
15.75 243100. 183160. 294740. 229290.
16.25 208620. 157350. 250930. 196250.
16.75 179710. 135660. 214520. 168640.
17.25 155360. 117370. 184120. 145470.
17.75 134780. 101890. 158640. 125950.
18.25 117280. 88724. 137170. 109400.00000000001
18.75 102360. 77498. 119010. 95300.
19.25 89588. 67890. 103580. 83260.
19.75 78629. 59642. 90431. 72947.
20.25 69198. 52538. 79185. 64088.
20.75 61060. 46402. 69533. 56459.
21.25 54021. 41089. 61225. 49871.99999999999
21.75 47911. 36471. 54049. 44166.99999999999
