# this is EMMI RRTF_HQ_cquark_ppFONLL_5.02 TeV_yle1 file 
# first, total cross section (in fm2) ... still to be estimated in this file
3
 -1.d0 -1.d0  -1.d0
# cross section is ds/dpt (pb/GeV)
# pt      central (m_c=1.3 GeV)     fr=1 2          fr=1 .5 
400 0.5d0
0.250000  54650000.000000  26774000.000000  199180000.000000
0.750000  181950000.000000  84961000.000000  481780000.000000
1.250000  357480000.000000  144260000.000000  694560000.000000
1.750000  403889984.000000  167460000.000000  714750016.000000
2.250000  341880000.000000  152870000.000000  583889984.000000
2.750000  256170000.000000  123550000.000000  427780000.000000
3.250000  183380000.000000  94515000.000000  300680000.000000
3.750000  129710000.000000  70790000.000000  209370000.000000
4.250000  91816000.000000  52622000.000000  146060000.000000
4.750000  65364000.000000  39095000.000000  102660000.000000
5.250000  46991000.000000  29214000.000000  73015000.000000
5.750000  34242000.000000  22031000.000000  52718000.000000
6.250000  25321000.000000  16804000.000000  38655000.000000
6.750000  18976000.000000  12951000.000000  28741000.000000
7.250000  14394000.000000  10075000.000000  21650000.000000
7.750000  11045000.000000  7909500.000000  16505000.000000
8.250000  8612000.000000  6265500.000000  12724000.000000
8.750000  6812600.000000  5004800.000000  9914100.000000
9.250000  5435500.000000  4029200.000000  7801900.000000
9.750000  4379300.000000  3267900.000000  6195900.000000
10.250000  3572500.000000  2669200.000000  4962600.000000
10.750000  2933800.000000  2194700.000000  4006700.000000
11.250000  2424200.000000  1815800.000000  3259200.000000
11.750000  2015000.000000  1511200.000000  2669700.000000
12.250000  1684100.000000  1264700.000000  2201400.000000
12.750000  1415200.000000  1064100.000000  1826500.000000
13.250000  1195200.000000  899720.000000  1524300.000000
13.750000  1014100.000000  764350.000000  1279200.000000
14.250000  864300.000000  652250.000000  1079200.000000
14.750000  739690.000000  558970.000000  914890.000000
15.250000  635670.000000  480980.000000  779170.000000
15.750000  548420.000000  415470.000000  666460.000000
16.250000  474900.000000  360200.000000  572430.000000
16.750000  412680.000000  313360.000000  493640.000000
17.250000  359810.000000  273500.000000  427350.000000
17.750000  314710.000000  239470.000000  371350.000000
18.250000  276100.000000  210310.000000  323760.000000
18.750000  242940.000000  185240.000000  283160.000000
19.250000  214350.000000  163620.000000  248390.000000
19.750000  189620.000000  144900.000000  218540.000000
20.250000  168180.000000  128650.000000  192810.000000
20.750000  149530.000000  114500.000000  170580.000000
21.250000  133260.000000  102140.000000  151310.000000
21.750000  119030.000000  91320.000000  134560.000000
22.250000  106550.000000  81821.000000  119950.000000
22.750000  95576.000000  73464.000000  107170.000000
23.250000  85908.000000  66092.000000  95956.000000
23.750000  77369.000000  59575.000000  86098.000000
24.250000  69810.000000  53800.000000  77409.000000
24.750000  63105.000000  48671.000000  69733.000000
25.250000  57144.000000  44107.000000  62937.000000
25.750000  51836.000000  40037.000000  56907.000000
26.250000  47098.000000  36401.000000  51545.000000
26.750000  42858.000000  33146.000000  46767.000000
27.250000  39057.000000  30227.000000  42500.000000
27.750000  35645.000000  27606.000000  38682.000000
28.250000  32575.000000  25246.000000  35261.000000
28.750000  29811.000000  23120.000000  32190.000000
29.250000  27317.000000  21200.000000  29428.000000
29.750000  25064.000000  19464.000000  26939.000000
30.250000  23026.000000  17893.000000  24694.000000
30.750000  21180.000000  16468.000000  22665.000000
31.250000  19505.000000  15174.000000  20829.000000
31.750000  17984.000000  13998.000000  19165.000000
32.250000  16600.000000  12927.000000  17654.000000
32.750000  15339.000000  11950.000000  16281.000000
33.250000  14188.000000  11059.000000  15032.000000
33.750000  13137.000000  10244.000000  13893.000000
34.250000  12175.000000  9499.099609  12854.000000
34.750000  11295.000000  8816.500000  11905.000000
35.250000  10488.000000  8190.500000  11037.000000
35.750000  9748.000000  7615.899902  10242.000000
36.250000  9068.000000  7087.899902  9513.799805
36.750000  8442.799805  6602.299805  8845.000000
37.250000  7867.399902  6155.200195  8230.400391
37.750000  7337.399902  5743.100098  7665.100098
38.250000  6848.600098  5363.000000  7144.700195
38.750000  6397.500000  5012.000000  6664.899902
39.250000  5980.700195  4687.500000  6222.399902
39.750000  5595.200195  4387.100098  5813.899902
40.250000  5238.299805  4108.799805  5436.299805
40.750000  4907.700195  3850.899902  5087.000000
41.250000  4601.100098  3611.500000  4763.600098
41.750000  4316.600098  3389.300049  4464.000000
42.250000  4052.399902  3182.800049  4186.100098
42.750000  3806.800049  2990.800049  3928.199951
43.250000  3578.300049  2812.199951  3688.600098
43.750000  3365.699951  2645.800049  3465.899902
44.250000  3167.600098  2490.800049  3258.699951
44.750000  2983.000000  2346.199951  3065.699951
45.250000  2810.800049  2211.399902  2885.899902
45.750000  2650.000000  2085.399902  2718.300049
46.250000  2499.800049  1967.800049  2561.899902
46.750000  2359.500000  1857.800049  2415.800049
47.250000  2228.199951  1755.000000  2279.300049
47.750000  2105.300049  1658.699951  2151.699951
48.250000  1990.300049  1568.400024  2032.400024
48.750000  1882.500000  1483.800049  1920.699951
49.250000  1781.400024  1404.500000  1816.000000
49.750000  1686.500000  1330.000000  1718.000000
50.250000  1597.500000  1260.099976  1626.000000
50.750000  1513.900024  1194.400024  1539.699951
51.250000  1435.300049  1132.599976  1458.699951
51.750000  1361.400024  1074.500000  1382.599976
52.250000  1291.900024  1019.900024  1311.099976
52.750000  1226.500000  968.400024  1243.800049
53.250000  1164.900024  919.919983  1180.500000
53.750000  1106.800049  874.229980  1120.900024
54.250000  1052.099976  831.150024  1064.800049
54.750000  1000.500000  790.510010  1011.900024
55.250000  951.780029  752.159973  961.969971
55.750000  905.799988  715.950012  914.900024
56.250000  862.369995  681.739990  870.479980
56.750000  821.330017  649.409973  828.530029
57.250000  782.530029  618.849976  788.900024
57.750000  745.840027  589.929993  751.450012
58.250000  711.130005  562.570007  716.049988
58.750000  678.270020  536.659973  682.559998
59.250000  647.150024  512.119995  650.869995
59.750000  617.679993  488.869995  620.869995
60.250000  589.739990  466.820007  592.460022
60.750000  563.260010  445.920013  565.539978
61.250000  538.140015  426.089996  540.030029
61.750000  514.299988  407.269989  515.840027
62.250000  491.679993  389.399994  492.899994
62.750000  470.200012  372.440002  471.119995
63.250000  449.799988  356.320007  450.450012
63.750000  430.399994  341.000000  430.820007
64.250000  411.970001  326.429993  412.170013
64.750000  394.450012  312.570007  394.450012
65.250000  377.769989  299.390015  377.600006
65.750000  361.910004  286.850006  361.570007
66.250000  346.809998  274.910004  346.320007
66.750000  332.429993  263.540009  331.809998
67.250000  318.730011  252.710007  318.000000
67.750000  305.679993  242.380005  304.839996
68.250000  293.239990  232.539993  292.309998
68.750000  281.380005  223.160004  280.359985
69.250000  270.070007  214.210007  268.970001
69.750000  259.279999  205.669998  258.109985
70.250000  248.979996  197.520004  247.750000
70.750000  239.149994  189.740005  237.869995
71.250000  229.770004  182.309998  228.440002
71.750000  220.800003  175.220001  219.440002
72.250000  212.240005  168.440002  210.850006
72.750000  204.059998  161.949997  202.639999
73.250000  196.229996  155.759995  194.789993
73.750000  188.750000  149.830002  187.300003
74.250000  181.600006  144.160004  180.130005
74.750000  174.759995  138.740005  173.279999
75.250000  168.210007  133.550003  166.720001
75.750000  161.940002  128.580002  160.449997
76.250000  155.940002  123.830002  154.449997
76.750000  150.190002  119.269997  148.710007
77.250000  144.690002  114.910004  143.210007
77.750000  139.410004  110.720001  137.940002
78.250000  134.360001  106.709999  132.889999
78.750000  129.509995  102.870003  128.059998
79.250000  124.870003  99.184998  123.419998
79.750000  120.410004  95.651001  118.980003
80.250000  116.139999  92.260002  114.720001
80.750000  112.029999  89.005997  110.629997
81.250000  108.099998  85.883003  106.709999
81.750000  104.320000  82.885002  102.949997
82.250000  100.690002  80.007004  99.335999
82.750000  97.209000  77.241997  95.869003
83.250000  93.862000  74.586998  92.540001
83.750000  90.647003  72.035004  89.342003
84.250000  87.556999  69.583000  86.269997
84.750000  84.586998  67.225998  83.318001
85.250000  81.732002  64.959999  80.482002
85.750000  78.987000  62.782001  77.754997
86.250000  76.347000  60.686001  75.134003
86.750000  73.807999  58.669998  72.613998
87.250000  71.364998  56.730000  70.190002
87.750000  69.014000  54.862999  67.858002
88.250000  66.750999  53.067001  65.614998
88.750000  64.572998  51.337002  63.456001
89.250000  62.476002  49.671001  61.379002
89.750000  60.457001  48.067001  59.377998
90.250000  58.511002  46.521999  57.452000
90.750000  56.638000  45.033001  55.597000
91.250000  54.832001  43.598999  53.811001
91.750000  53.091999  42.216000  52.090000
92.250000  51.415001  40.883999  50.431000
92.750000  49.798000  39.598999  48.833000
93.250000  48.238998  38.360001  47.292000
93.750000  46.735001  37.165001  45.806999
94.250000  45.285000  36.013000  44.374001
94.750000  43.886002  34.901001  42.993000
95.250000  42.535999  33.827999  41.660000
95.750000  41.234001  32.792000  40.375000
96.250000  39.977001  31.792999  39.133999
96.750000  38.763000  30.827999  37.937000
97.250000  37.591000  29.896999  36.782001
97.750000  36.459000  28.997000  35.666000
98.250000  35.367001  28.128000  34.589001
98.750000  34.311001  27.289000  33.549000
99.250000  33.291000  26.478001  32.543999
99.750000  32.305000  25.695000  31.573000
100.250000  31.353001  24.938000  30.636000
100.750000  30.431999  24.205999  29.729000
101.250000  29.542999  23.497999  28.854000
101.750000  28.681999  22.813999  28.007000
102.250000  27.850000  22.153000  27.188000
102.750000  27.046000  21.513000  26.396999
103.250000  26.267000  20.895000  25.632000
103.750000  25.514000  20.296000  24.892000
104.250000  24.785999  19.716999  24.176001
104.750000  24.080999  19.156000  23.483000
105.250000  23.399000  18.614000  22.813000
105.750000  22.739000  18.089001  22.165001
106.250000  22.100000  17.580999  21.538000
106.750000  21.482000  17.089001  20.930000
107.250000  20.882999  16.613001  20.343000
107.750000  20.302000  16.150999  19.773001
108.250000  19.740999  15.704000  19.223000
108.750000  19.197001  15.272000  18.688999
109.250000  18.669001  14.852000  18.172001
109.750000  18.159000  14.446000  17.671000
