# pt      RAA_central   RAA_lower    RAA_upper
400   0.5d0
0.250000  0.660375  0.472021  0.871259
0.750000  0.689474  0.488771  0.895688
1.250000  0.720888  0.527185  0.925520
1.750000  0.749022  0.559267  0.942875
2.250000  0.795241  0.618836  0.987292
2.750000  0.846111  0.657337  1.004821
3.250000  0.885237  0.725106  1.031780
3.750000  0.915878  0.775611  1.053392
4.250000  0.938034  0.808853  1.069656
4.750000  0.953541  0.835797  1.079670
5.250000  0.962400  0.856444  1.083432
5.750000  0.973309  0.875368  1.089504
6.250000  0.986267  0.892568  1.097886
6.750000  0.999225  0.909769  1.106268
7.250000  1.011825  0.927491  1.110302
7.750000  1.024066  0.945733  1.109988
8.250000  1.036306  0.963975  1.109674
8.750000  1.048547  0.982217  1.109360
9.250000  1.056116  0.996253  1.113926
9.750000  1.059012  1.006085  1.123372
10.250000  1.061909  1.015916  1.132818
10.750000  1.064805  1.025747  1.142265
11.250000  1.067912  1.031099  1.147411
11.750000  1.071228  1.031972  1.148256
12.250000  1.074544  1.032844  1.149102
12.750000  1.077861  1.033716  1.149948
13.250000  1.081177  1.034589  1.150794
13.750000  1.084493  1.035461  1.151639
14.250000  1.087809  1.036333  1.152485
14.750000  1.091126  1.037206  1.153331
15.250000  1.094442  1.038078  1.154177
15.750000  1.097758  1.038950  1.155022
16.250000  1.099880  1.039996  1.156250
16.750000  1.100806  1.041216  1.157858
17.250000  1.101732  1.042436  1.159467
17.750000  1.102658  1.043655  1.161076
18.250000  1.103585  1.044875  1.162685
18.750000  1.104511  1.046095  1.164294
19.250000  1.105437  1.047315  1.165903
19.750000  1.106363  1.048534  1.167512
20.250000  1.107289  1.049754  1.169121
20.750000  1.108216  1.050974  1.170729
21.250000  1.109142  1.052193  1.172338
21.750000  1.110068  1.053413  1.173947
22.250000  1.110994  1.054633  1.175556
22.750000  1.111920  1.055852  1.177165
23.250000  1.112847  1.057072  1.178774
23.750000  1.113773  1.058292  1.180383
24.250000  1.114699  1.059511  1.181992
24.750000  1.115625  1.060731  1.183601
25.250000  1.116551  1.061951  1.185209
25.750000  1.117478  1.063171  1.186818
26.250000  1.118404  1.064390  1.188427
26.750000  1.119330  1.065610  1.190036
27.250000  1.120256  1.066830  1.191645
27.750000  1.121182  1.068049  1.193254
28.250000  1.122109  1.069269  1.194863
