# pt   RAA_central    RAA_lower    RAA_upper  
400  0.5
0.25  0.637496  0.43843  0.848239
0.75  0.657281  0.454268  0.87977
1.25  0.67939  0.477923  0.902867
1.75  0.70482  0.50963  0.916172
2.25  0.742299  0.55048  0.94993
2.75  0.787979  0.599289  0.983837
3.25  0.823173  0.64473  1.01985
3.75  0.855448  0.683111  1.0396
4.25  0.884756  0.714245  1.04294
4.75  0.902536  0.736959  1.04181
5.25  0.908696  0.751161  1.0362
5.75  0.917572  0.773244  1.04095
6.25  0.929174  0.803287  1.05607
6.75  0.940794  0.833468  1.07122
7.25  0.951175  0.851904  1.07761
7.75  0.960311  0.858498  1.07522
8.25  0.969456  0.865099  1.07283
8.75  0.978614  0.871706  1.07044
9.25  0.982915  0.877717  1.06952
9.75  0.982349  0.88313  1.07007
10.25  0.981784  0.888549  1.07062
10.75  0.98122  0.89397  1.07117
11.25  0.984954  0.901453  1.07393
11.75  0.992992  0.911003  1.0789
12.25  1.00104  0.920565  1.08386
12.75  1.00909  0.93014  1.08884
13.25  1.01716  0.939729  1.09381
13.75  1.02523  0.949329  1.09879
14.25  1.03331  0.958943  1.10377
14.75  1.04139  0.968568  1.10875
15.25  1.04949  0.978205  1.11374
15.75  1.05759  0.987855  1.11873
16.25  1.06234  0.992935  1.12246
16.75  1.06375  0.993436  1.12493
17.25  1.06515  0.993938  1.12741
17.75  1.06655  0.99444  1.12988
18.25  1.06796  0.994941  1.13236
18.75  1.06936  0.995442  1.13484
19.25  1.07076  0.995944  1.13731
19.75  1.07217  0.996445  1.13979
20.25  1.07357  0.996947  1.14227
20.75  1.07498  0.997449  1.14475
21.25  1.07638  0.99795  1.14723
21.75  1.07779  0.998453  1.14971
22.25  1.07919  0.998955  1.15219
22.75  1.0806  0.999456  1.15468
23.25  1.08201  0.999958  1.15716
23.75  1.08341  1.00046  1.15964
24.25  1.08482  1.00096  1.16213
24.75  1.08622  1.00146  1.16461
25.25  1.08763  1.00197  1.1671
25.75  1.08904  1.00247  1.16958
26.25  1.09044  1.00297  1.17207
26.75  1.09185  1.00347  1.17455
27.25  1.09326  1.00397  1.17704
27.75  1.09467  1.00448  1.17953
28.25  1.09607  1.00498  1.18202
28.75  1.09748  1.00548  1.18451
29.25  1.09889  1.00598  1.187
29.75  1.1003  1.00649  1.18949
30.25  1.10171  1.00699  1.19198
30.75  1.10312  1.00749  1.19447
31.25  1.10453  1.00799  1.19696
31.75  1.10594  1.00849  1.19945
32.25  1.10734  1.009  1.20195
32.75  1.10875  1.0095  1.20444
33.25  1.11017  1.01  1.20694
33.75  1.11158  1.0105  1.20943
34.25  1.11299  1.01101  1.21193
34.75  1.1144  1.01151  1.21442
35.25  1.1151  1.01176  1.21567
35.75  1.1151  1.01176  1.21567
36.25  1.1151  1.01176  1.21567
36.75  1.1151  1.01176  1.21567
37.25  1.1151  1.01176  1.21567
37.75  1.1151  1.01176  1.21567
38.25  1.1151  1.01176  1.21567
38.75  1.1151  1.01176  1.21567
39.25  1.1151  1.01176  1.21567
39.75  1.1151  1.01176  1.21567
40.25  1.1151  1.01176  1.21567
40.75  1.1151  1.01176  1.21567
41.25  1.1151  1.01176  1.21567
41.75  1.1151  1.01176  1.21567
42.25  1.1151  1.01176  1.21567
42.75  1.1151  1.01176  1.21567
43.25  1.1151  1.01176  1.21567
43.75  1.1151  1.01176  1.21567
44.25  1.1151  1.01176  1.21567
44.75  1.1151  1.01176  1.21567
45.25  1.1151  1.01176  1.21567
45.75  1.1151  1.01176  1.21567
46.25  1.1151  1.01176  1.21567
46.75  1.1151  1.01176  1.21567
47.25  1.1151  1.01176  1.21567
47.75  1.1151  1.01176  1.21567
48.25  1.1151  1.01176  1.21567
48.75  1.1151  1.01176  1.21567
49.25  1.1151  1.01176  1.21567
49.75  1.1151  1.01176  1.21567
50.25  1.  1.  1.
50.75  1.  1.  1.
51.25  1.  1.  1.
51.75  1.  1.  1.
52.25  1.  1.  1.
52.75  1.  1.  1.
53.25  1.  1.  1.
53.75  1.  1.  1.
54.25  1.  1.  1.
54.75  1.  1.  1.
55.25  1.  1.  1.
55.75  1.  1.  1.
56.25  1.  1.  1.
56.75  1.  1.  1.
57.25  1.  1.  1.
57.75  1.  1.  1.
58.25  1.  1.  1.
58.75  1.  1.  1.
59.25  1.  1.  1.
59.75  1.  1.  1.
60.25  1.  1.  1.
60.75  1.  1.  1.
61.25  1.  1.  1.
61.75  1.  1.  1.
62.25  1.  1.  1.
62.75  1.  1.  1.
63.25  1.  1.  1.
63.75  1.  1.  1.
64.25  1.  1.  1.
64.75  1.  1.  1.
65.25  1.  1.  1.
65.75  1.  1.  1.
66.25  1.  1.  1.
66.75  1.  1.  1.
67.25  1.  1.  1.
67.75  1.  1.  1.
68.25  1.  1.  1.
68.75  1.  1.  1.
69.25  1.  1.  1.
69.75  1.  1.  1.
70.25  1.  1.  1.
70.75  1.  1.  1.
71.25  1.  1.  1.
71.75  1.  1.  1.
72.25  1.  1.  1.
72.75  1.  1.  1.
73.25  1.  1.  1.
