# pt   RAA_central    RAA_lower    RAA_upper  
400  0.5
0.25  0.962038  0.931344  0.987342
0.75  0.965958  0.934516  0.98988
1.25  0.97001  0.941453  0.992888
1.75  0.973496  0.946878  0.994594
2.25  0.978971  0.956125  0.998824
2.75  0.984655  0.961618  1.00044
3.25  0.988803  0.970541  1.00288
3.75  0.991927  0.976683  1.00479
4.25  0.994122  0.980526  1.0062
4.75  0.995628  0.98353  1.00706
5.25  0.996477  0.985769  1.00738
5.75  0.997513  0.987774  1.0079
6.25  0.998729  0.98956  1.0086
6.75  0.999929  0.991312  1.00931
7.25  1.00108  0.993084  1.00964
7.75  1.00219  0.994872  1.00962
8.25  1.00328  0.996628  1.00959
8.75  1.00436  0.99835  1.00956
9.25  1.00503  0.999655  1.00994
9.75  1.00528  1.00056  1.01072
10.25  1.00553  1.00145  1.0115
10.75  1.00578  1.00234  1.01227
11.25  1.00605  1.00282  1.01268
11.75  1.00634  1.0029  1.01275
12.25  1.00662  1.00297  1.01282
12.75  1.0069  1.00305  1.01289
13.25  1.00719  1.00313  1.01296
13.75  1.00747  1.00321  1.01302
14.25  1.00775  1.00328  1.01309
14.75  1.00803  1.00336  1.01316
15.25  1.00831  1.00344  1.01323
15.75  1.00859  1.00352  1.0133
16.25  1.00877  1.00361  1.01339
16.75  1.00885  1.00372  1.01352
17.25  1.00893  1.00382  1.01365
17.75  1.009  1.00393  1.01378
18.25  1.00908  1.00404  1.01391
18.75  1.00916  1.00415  1.01404
19.25  1.00924  1.00425  1.01416
19.75  1.00931  1.00436  1.01429
20.25  1.00939  1.00447  1.01442
20.75  1.00947  1.00458  1.01455
21.25  1.00955  1.00468  1.01468
21.75  1.00962  1.00479  1.0148
22.25  1.0097  1.0049  1.01493
22.75  1.00978  1.005  1.01506
23.25  1.00985  1.00511  1.01518
23.75  1.00993  1.00522  1.01531
24.25  1.01001  1.00532  1.01544
24.75  1.01008  1.00543  1.01556
25.25  1.01016  1.00553  1.01569
25.75  1.01024  1.00564  1.01581
26.25  1.01031  1.00574  1.01594
26.75  1.01039  1.00585  1.01607
27.25  1.01047  1.00596  1.01619
27.75  1.01054  1.00606  1.01632
28.25  1.01062  1.00617  1.01644
28.75  1.0107  1.00627  1.01657
29.25  1.01077  1.00638  1.01669
29.75  1.01085  1.00648  1.01682
30.25  1.01092  1.00659  1.01694
30.75  1.011  1.00669  1.01707
31.25  1.01108  1.0068  1.01719
31.75  1.01115  1.0069  1.01731
32.25  1.01123  1.007  1.01744
32.75  1.0113  1.00711  1.01756
33.25  1.01138  1.00721  1.01769
33.75  1.01146  1.00732  1.01781
34.25  1.01153  1.00742  1.01793
34.75  1.01161  1.00752  1.01806
35.25  1.01164  1.00758  1.01812
35.75  1.01164  1.00758  1.01812
36.25  1.01164  1.00758  1.01812
36.75  1.01164  1.00758  1.01812
37.25  1.01164  1.00758  1.01812
37.75  1.01164  1.00758  1.01812
38.25  1.01164  1.00758  1.01812
38.75  1.01164  1.00758  1.01812
39.25  1.01164  1.00758  1.01812
39.75  1.01164  1.00758  1.01812
40.25  1.01164  1.00758  1.01812
40.75  1.01164  1.00758  1.01812
41.25  1.01164  1.00758  1.01812
41.75  1.01164  1.00758  1.01812
42.25  1.01164  1.00758  1.01812
42.75  1.01164  1.00758  1.01812
43.25  1.01164  1.00758  1.01812
43.75  1.01164  1.00758  1.01812
44.25  1.01164  1.00758  1.01812
44.75  1.01164  1.00758  1.01812
45.25  1.01164  1.00758  1.01812
45.75  1.01164  1.00758  1.01812
46.25  1.01164  1.00758  1.01812
46.75  1.01164  1.00758  1.01812
47.25  1.01164  1.00758  1.01812
47.75  1.01164  1.00758  1.01812
48.25  1.01164  1.00758  1.01812
48.75  1.01164  1.00758  1.01812
49.25  1.01164  1.00758  1.01812
49.75  1.01164  1.00758  1.01812
50.25  1.  1.  1.
50.75  1.  1.  1.
51.25  1.  1.  1.
51.75  1.  1.  1.
52.25  1.  1.  1.
52.75  1.  1.  1.
53.25  1.  1.  1.
53.75  1.  1.  1.
54.25  1.  1.  1.
54.75  1.  1.  1.
55.25  1.  1.  1.
55.75  1.  1.  1.
56.25  1.  1.  1.
56.75  1.  1.  1.
57.25  1.  1.  1.
57.75  1.  1.  1.
58.25  1.  1.  1.
58.75  1.  1.  1.
59.25  1.  1.  1.
59.75  1.  1.  1.
60.25  1.  1.  1.
60.75  1.  1.  1.
61.25  1.  1.  1.
61.75  1.  1.  1.
62.25  1.  1.  1.
62.75  1.  1.  1.
63.25  1.  1.  1.
63.75  1.  1.  1.
64.25  1.  1.  1.
64.75  1.  1.  1.
65.25  1.  1.  1.
65.75  1.  1.  1.
66.25  1.  1.  1.
66.75  1.  1.  1.
67.25  1.  1.  1.
67.75  1.  1.  1.
68.25  1.  1.  1.
68.75  1.  1.  1.
69.25  1.  1.  1.
69.75  1.  1.  1.
70.25  1.  1.  1.
70.75  1.  1.  1.
71.25  1.  1.  1.
71.75  1.  1.  1.
72.25  1.  1.  1.
72.75  1.  1.  1.
73.25  1.  1.  1.
73.75  1.  1.  1.
74.25  1.  1.  1.
74.75  1.  1.  1.
75.25  1.  1.  1.
75.75  1.  1.  1.
76.25  1.  1.  1.
76.75  1.  1.  1.
77.25  1.  1.  1.
77.75  1.  1.  1.
78.25  1.  1.  1.
78.75  1.  1.  1.
79.25  1.  1.  1.
79.75  1.  1.  1.
80.25  1.  1.  1.
80.75  1.  1.  1.
81.25  1.  1.  1.
81.75  1.  1.  1.
82.25  1.  1.  1.
82.75  1.  1.  1.
83.25  1.  1.  1.
83.75  1.  1.  1.
84.25  1.  1.  1.
84.75  1.  1.  1.
85.25  1.  1.  1.
85.75  1.  1.  1.
86.25  1.  1.  1.
86.75  1.  1.  1.
87.25  1.  1.  1.
87.75  1.  1.  1.
88.25  1.  1.  1.
88.75  1.  1.  1.
89.25  1.  1.  1.
89.75  1.  1.  1.
90.25  1.  1.  1.
90.75  1.  1.  1.
91.25  1.  1.  1.
91.75  1.  1.  1.
92.25  1.  1.  1.
92.75  1.  1.  1.
93.25  1.  1.  1.
93.75  1.  1.  1.
94.25  1.  1.  1.
94.75  1.  1.  1.
95.25  1.  1.  1.
95.75  1.  1.  1.
